Date 25.02.2020 12:23:21
Wavelength / nm,Intensity / a.u.
Data
434.14047,17378.0
434.14633,17455.0
434.15222,17278.0
434.15808,17293.0
434.16397,17174.0
434.16983,17269.0
434.17572,17351.0
434.18158,17496.0
434.18744,17414.0
434.19333,17266.0
434.19919,16917.0
434.20508,16731.0
434.21094,16678.0
434.2168,16735.0
434.22269,16769.0
434.22855,16613.0
434.23444,16392.0
434.2403,16099.0
434.24615,15965.0
434.25204,15880.0
434.2579,15907.0
434.26379,15934.0
434.26965,15913.0
434.27551,15831.0
434.2814,15850.0
434.28726,15774.0
434.29315,15905.0
434.29901,16050.0
434.30487,16404.0
434.31076,16819.0
434.31662,17269.0
434.32248,17463.0
434.32837,17338.0
434.33423,17144.0
434.34009,17107.0
434.34598,17433.0
434.35184,17871.0
434.35773,18197.0
434.36359,18423.0
434.36945,18481.0
434.37534,18109.0
434.3812,17866.0
434.38705,17707.0
434.39294,17476.0
434.3988,17665.0
434.40466,17553.0
434.41055,16899.0
434.41641,16241.0
434.42227,15591.0
434.42816,15279.0
434.43402,15379.0
434.43988,15335.0
434.44577,15320.0
434.45163,15392.0
434.45749,15313.0
434.46338,15167.0
434.46924,15157.0
434.4751,15141.0
434.48096,15077.0
434.48685,15089.0
434.49271,15067.0
434.49857,15065.0
434.50446,15092.0
434.51031,15183.0
434.51617,15245.0
434.52206,15377.0
434.52792,15364.0
434.53378,15342.0
434.53964,15243.0
434.54553,15155.0
434.55139,15130.0
434.55725,15298.0
434.56314,15476.0
434.569,15637.0
434.57486,15883.0
434.58072,16054.0
434.58661,16318.0
434.59247,16281.0
434.59833,16073.0
434.60422,15865.0
434.61008,15639.0
434.61594,15665.0
434.6218,15740.0
434.62769,16146.0
434.63354,16473.0
434.6394,16512.0
434.64526,16307.0
434.65115,16042.0
434.65701,15791.0
434.66287,15877.0
434.66873,16055.0
434.67462,16090.0
434.68048,15893.0
434.68634,15731.0
434.6922,15441.0
434.69809,15241.0
434.70395,15130.0
434.70981,15158.0
434.71567,15293.0
434.72153,15336.0
434.72742,15368.0
434.73328,15512.0
434.73914,15710.0
434.745,16363.0
434.75089,17042.0
434.75674,17823.0
434.7626,18114.0
434.76846,17911.0
434.77432,17327.0
434.78021,17118.0
434.78607,17452.0
434.79193,18712.0
434.79779,19917.0
434.80365,20588.0
434.80954,20268.0
434.8154,18863.0
434.82126,17595.0
434.82712,17071.0
434.83298,17201.0
434.83884,17665.0
434.84473,17883.0
434.85059,17346.0
434.85645,16752.0
434.8623,16004.0
434.86816,15651.0
434.87405,15505.0
434.87991,15451.0
434.88577,15383.0
434.89163,15331.0
434.89749,15349.0
434.90335,15231.0
434.90921,15093.0
434.9151,15114.0
434.92096,15046.0
434.92682,15089.0
434.93268,15145.0
434.93854,14978.0
434.9444,15077.0
434.95029,15071.0
434.95615,15021.0
434.96201,15082.0
434.96786,15026.0
434.97372,15175.0
434.97958,15223.0
434.98544,15240.0
434.9913,15239.0
434.99719,15306.0
435.00305,15414.0
435.00891,15403.0
435.01477,15359.0
435.02063,15583.0
435.02649,15891.0
435.03235,16000.0
435.03821,16092.0
435.04407,15944.0
435.04996,15887.0
435.05582,15862.0
435.06168,15996.0
435.06754,16251.0
435.07339,16577.0
435.07925,17001.0
435.08511,17476.0
