Date and Time:                Thu Oct 22 13:46:56.417 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Accumulate Cycle Time (secs): 0.2
Frequency (Hz):               5
Number of Accumulations:      120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              388
390.61502	410
390.62115	378
390.62729	424
390.63342	439
390.63959	386
390.64572	419
390.65186	392
390.65799	404
390.66412	348
390.67029	437
390.67642	386
390.68256	428
390.68869	440
390.69482	418
390.70099	417
390.70712	418
390.71326	434
390.71939	425
390.72552	467
390.73169	437
390.73782	410
390.74396	375
390.75009	423
390.75623	402
390.76239	450
390.76852	435
390.77466	466
390.78079	448
390.78693	360
390.79306	414
390.79922	438
390.80536	447
390.81149	386
390.81763	413
390.82376	383
390.8299	381
390.83606	432
390.84219	405
390.84833	329
390.85446	407
390.8606	401
390.86673	471
390.87286	369
390.87903	380
390.88516	417
390.8913	401
390.89743	412
390.90356	443
390.9097	380
390.91583	418
390.922	435
390.92813	423
390.93427	436
390.9404	409
390.94653	412
390.95267	365
390.9588	421
390.96494	427
390.97107	465
390.97723	461
390.98337	503
390.9895	494
390.99564	488
391.00177	481
391.0079	492
391.01404	460
391.02017	456
391.02631	427
391.03247	419
391.0386	438
391.04474	435
391.05087	393
391.05701	381
391.06314	414
391.06927	397
391.07541	386
391.08154	396
391.08768	421
391.09381	382
391.09995	404
391.10611	395
391.11224	398
391.11838	386
391.12451	422
391.13065	427
391.13678	408
391.14291	406
391.14905	388
391.15518	395
391.16132	381
391.16745	349
391.17358	435
391.17972	404
391.18585	419
391.19199	441
391.19812	413
391.20425	406
391.21039	460
391.21655	398
391.22269	412
391.22882	342
391.23495	421
391.24109	375
391.24722	417
391.25336	456
391.25949	395
391.26563	432
391.27176	394
391.27789	394
391.28403	407
391.29016	436
391.2963	373
391.30243	454
391.30856	385
391.3147	428
391.32083	390
391.32697	437
391.3331	446
391.33923	418
391.34537	450
391.3515	417
391.35764	485
391.36377	444
391.3699	451
391.37604	417
391.38217	457
391.38831	389
391.39444	427
391.40057	443
391.40671	417
391.41284	396
391.41898	406
391.42511	428
391.43124	469
391.43738	387
391.44351	428
391.44965	410
391.45578	365
391.46191	380
391.46802	391
391.47415	446
391.48029	395
391.48642	384
391.49255	387
391.49869	406
391.50482	461
391.51096	469
391.51709	457
391.52322	521
391.52936	469
391.53549	496
391.54163	434
391.54776	428
391.55389	424
391.56003	428
391.56616	375
391.5723	387
391.5784	477
391.58453	421
391.59067	397
391.5968	430
391.60294	405
391.60907	385
391.6152	388
391.62134	371
391.62747	465
391.63361	422
391.63974	428
391.64584	386
391.65198	412
391.65811	446
391.66425	387
391.67038	387
391.67651	440
391.68265	396
391.68878	417
391.69492	420
391.70105	424
391.70715	409
391.71329	421
391.71942	437
391.72556	410
391.73169	402
391.73782	388
