Date and Time:                Wed May 6 09:05:29.406 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
228.22523	9.34209
228.25813	13.8226
228.29103	13.5638
228.32391	9.51881
228.35681	7.9805
228.38971	8.60869
228.42261	8.42697
228.45551	8.54002
228.4884	12.1561
228.5213	16.4309
228.5542	13.3321
228.5871	5.76305
228.62	4.69684
228.65289	10.1145
228.68578	12.9108
228.71867	17.0777
228.75157	22.0977
228.78447	20.2645
228.81737	16.086
228.85027	17.1392
228.88316	21.1959
228.91606	20.2718
228.94896	14.5735
228.98186	10.4612
229.01476	9.55338
229.04764	8.92222
229.08054	6.38214
229.11343	3.06731
229.14633	4.9395
229.17923	7.91934
229.21213	10.8396
229.24503	12.4602
229.27792	11.5843
229.31082	8.49393
229.34372	7.24301
229.3766	9.61473
229.4095	12.1042
229.4424	11.9487
229.4753	11.4515
229.50819	10.5423
229.54109	10.0479
229.57399	11.3428
229.60689	10.6677
229.63979	6.48225
229.67268	4.14026
229.70558	5.58563
229.73846	10.9163
229.77136	14.7021
229.80426	14.7169
229.83716	13.5629
229.87006	12.7736
229.90295	12.7981
229.93585	9.6411
229.96875	4.27244
230.00165	3.35274
230.03455	3.833
230.06744	3.35605
230.10033	6.09485
230.13322	8.37998
230.16612	9.04051
230.19902	11.0245
230.23192	10.5963
230.26482	6.5867
230.29771	6.1395
230.33061	10.1692
230.36351	10.5779
230.39641	7.89738
230.42931	7.02158
230.46219	7.37674
230.49509	4.97043
230.52798	2.53026
230.56088	3.65132
230.59378	5.8759
230.62668	3.12214
230.65958	3.25635
230.69247	12.4821
230.72537	32.2031
230.75827	69.4554
230.79117	111.676
230.82405	136.929
230.85695	136.794
230.88985	121.93
230.92274	109.21
230.95564	102.052
230.98854	100.947
231.02144	104.008
231.05434	90.6807
231.08723	57.1447
231.12013	27.2159
231.15303	16.9407
231.18591	16.4773
231.21881	14.9313
231.25171	10.4347
231.28461	6.04845
231.3175	7.46258
231.3504	11.1262
231.3833	11.4033
231.4162	10.0724
231.4491	11.9062
231.48199	13.377
231.51488	13.702
231.54778	12.5043
231.58067	9.59832
231.61357	9.89567
231.64647	11.836
231.67937	11.2842
231.71227	7.33021
231.74516	5.4718
231.77806	10.5072
231.81096	18.5619
231.84386	22.1834
231.87674	17.1802
231.90964	8.0839
231.94254	4.33817
231.97543	6.27591
232.00833	5.72007
232.04123	4.27732
232.07413	4.88414
232.10703	5.51127
232.13992	5.06303
232.17282	4.2333
232.20572	2.96429
232.2386	-1.85909
232.2715	-6.32978
232.3044	1.38926
232.3373	8.09993
232.37019	5.50205
232.40309	4.72653
232.43599	3.52398
232.46889	3.65644
232.50179	5.43463
232.53468	6.95279
232.56758	4.07958
232.60046	2.59413
232.63336	4.43783
232.66626	4.34701
232.69916	4.75303
232.73206	4.13634
232.76495	4.04296
232.79785	6.40976
232.83075	9.71448
232.86365	21.8809
232.89655	46.6422
232.92944	84.1808
232.96233	120.132
232.99522	131.469
233.02812	121.072
233.06102	105.487
233.09392	94.1229
233.12682	93.6268
233.15971	98.0933
233.19261	96.5441
233.22551	80.8708
233.25841	51.0732
233.29131	28.7143
233.32419	22.9427
233.35709	20.4204
233.38998	17.5429
233.42288	15.92
233.45578	13.708
233.48868	12.8867
233.52158	14.4669
233.55447	18.6426
233.58737	18.2036
233.62027	10.685
233.65317	3.57464
233.68605	1.32327
233.71895	4.3514
233.75185	9.17737
233.78474	11.6973
233.81764	12.9149
233.85054	13.3099
233.88344	13.2324
233.91634	14.8707
233.94923	13.8248
233.98213	5.39515
234.01501	4.2999
234.04791	7.3717
234.08081	6.64579
234.11371	8.43297
234.14661	8.90426
234.1795	10.4723
234.2124	19.0975
234.2453	31.1035
234.2782	37.0377
234.3111	38.6455
234.34399	42.8836
234.37688	42.3536
234.40977	38.4165
234.44267	35.75
234.47557	31.7244
234.50847	31.2304
234.54137	32.4593
234.57426	30.0389
234.60716	24.5911
234.64006	19.7761
234.67296	15.2434
234.70586	12.8628
234.73874	15.6987
234.77164	19.0501
234.80453	20.2761
234.83743	19.1304
234.87033	16.9965
234.90323	14.7557
234.93613	15.0095
234.96902	17.4819
235.00192	14.869
235.03482	9.71164
235.06772	7.55021
235.1006	6.38774
235.1335	7.96746
235.1664	6.85349
235.1993	3.89984
235.23219	3.90885
235.26509	6.9021
235.29799	10.3634
235.33089	12.5569
235.36378	14.1541
235.39668	16.6426
235.42958	20.042
235.46246	24.7505
235.49536	24.2005
235.52826	18.5972
235.56116	16.6541
235.59406	15.0205
235.62695	14.5772
235.65985	17.3872
235.69275	17.2
235.72565	16.6322
235.75854	17.8288
235.79144	19.3104
235.82433	23.7061
235.85722	25.4593
235.89012	20.597
235.92302	21.8702
235.95592	27.8419
235.98882	24.0757
236.02171	19.7656
236.05461	23.5962
236.08751	27.9125
236.12041	30.1814
236.15329	29.8894
236.18619	28.7433
236.21909	29.0037
236.25198	27.1479
236.28488	20.1569
236.31778	18.0244
236.35068	23.3005
236.38358	28.7228
236.41647	33.4443
236.44937	33.9189
236.48227	31.2127
236.51515	28.168
236.54805	24.8708
236.58095	26.7765
236.61385	30.7654
236.64674	28.8583
236.67964	27.6733
236.71254	24.5747
236.74544	23.2892
236.77834	30.2419
236.81123	34.5576
236.84413	34.3832
236.87701	36.7508
236.90991	40.5934
236.94281	41.8428
236.97571	39.9795
237.00861	37.3327
237.0415	38.553
237.0744	46.1961
237.1073	49.1442
237.1402	44.0853
237.1731	43.0541
237.20599	43.8329
237.23888	40.7661
237.27177	39.5313
237.30467	41.0852
237.33757	43.9138
237.37047	44.9977
237.40337	44.0304
237.43626	42.1399
237.46916	39.9658
237.50206	38.7333
237.53496	37.3622
237.56786	40.2859
237.60074	47.1026
237.63364	50.6173
237.66653	50.4828
237.69943	47.8795
237.73233	47.126
237.76523	50.8975
237.79813	52.1273
237.83102	50.0765
